6;6;348
7;8;236
24;5;17
18;6;352
22;4;13
2;4;88
28;4;74
10;5;398
15;7;350
18;1;379
12;10;13
16;6;14
12;11;90
3;6;252
21;7;134
28;1;19
20;11;11
1;2;146
4;12;264
12;2;238
18;12;289
26;4;285
4;11;197
8;3;376
21;4;32
1;2;83
20;3;10
1;4;203
17;12;169
15;8;115
29;8;264
9;10;106
12;6;258
16;4;363
21;10;369
18;3;75
9;11;272
31;1;164
31;12;331
7;12;357
30;4;352
15;1;260
5;6;179
22;10;229
26;7;328
28;5;125
15;3;149
7;4;89
10;1;50
25;3;57
13;7;123
16;10;196
14;8;366
1;9;215
10;1;16
17;6;321
12;2;39
26;6;228
11;1;305
13;3;263
4;7;4
23;12;148
21;10;208
3;11;145
30;10;307
29;11;242
15;3;72
20;12;113
30;11;327
2;2;123
20;3;165
29;7;303
25;2;36
11;11;203
1;7;287
28;4;129
31;5;98
7;2;171
8;1;292
25;8;136
10;11;349
23;11;390
29;6;198
8;9;158
20;2;379
20;4;9
4;2;66
22;4;266
8;12;211
10;9;83
14;9;148
18;2;202
5;11;31
30;9;217
24;3;192
14;12;350
7;11;185
7;4;190
